customer_id,customer_name,email,city,signup_date
1,Customer_1,customer1@example.com,Abuja,2022-10-17
2,Customer_2,,,2021-04-25
3,Customer_3,customer3@example.com,Port Harcourt,2021-01-26
4,Customer_4,customer4@example.com,Ibadan,2023-01-30
5,Customer_5,customer5@example.com,Lagos,2021-10-09
6,Customer_6,customer6@example.com,Lagos,2021-09-08
7,Customer_7,customer7@example.com,Lagos,2021-08-17
8,Customer_8,customer8@example.com,Benin,2021-05-23
9,Customer_9,customer9@example.com,Port Harcourt,2023-01-25
10,Customer_10,customer10@example.com,Port Harcourt,2021-04-15
11,Customer_11,customer11@example.com,Lagos,2022-11-24
12,Customer_12,customer12@example.com,,2023-01-29
13,Customer_13,customer13@example.com,Benin,2022-07-13
14,Customer_14,customer14@example.com,Lagos,2021-03-31
15,Customer_15,customer15@example.com,Lagos,2022-08-28
16,Customer_16,customer16@example.com,Lagos,2022-03-09
17,Customer_17,customer17@example.com,Abuja,2021-02-02
18,Customer_18,customer18@example.com,Ibadan,2021-01-31
19,Customer_19,customer19@example.com,Ibadan,2021-04-06
20,Customer_20,customer20@example.com,Abuja,2021-08-12
21,Customer_21,customer21@example.com,Port Harcourt,2021-08-27
22,Customer_22,customer22@example.com,Lagos,2022-06-02
23,Customer_23,customer23@example.com,Abuja,2022-09-09
24,Customer_24,customer24@example.com,Abuja,2021-01-28
25,Customer_25,customer25@example.com,Ibadan,2022-07-29
26,Customer_26,customer26@example.com,Benin,2021-07-23
27,Customer_27,customer27@example.com,Lagos,2023-01-04
28,Customer_28,customer28@example.com,Ibadan,2022-10-28
29,Customer_29,customer29@example.com,Ibadan,2022-12-20
30,Customer_30,customer30@example.com,Lagos,2022-07-13
31,Customer_31,customer31@example.com,Port Harcourt,2022-03-06
32,Customer_32,customer32@example.com,Lagos,2021-08-14
33,Customer_33,customer33@example.com,Lagos,2022-04-05
34,Customer_34,customer34@example.com,,2022-08-27
35,Customer_35,customer35@example.com,,2021-10-12
36,Customer_36,customer36@example.com,Benin,2023-04-09
37,Customer_37,customer37@example.com,Abuja,2023-06-10
38,Customer_38,customer38@example.com,Lagos,2021-01-07
39,Customer_39,customer39@example.com,Port Harcourt,2023-02-17
40,Customer_40,customer40@example.com,Ibadan,2023-04-06
41,Customer_41,customer41@example.com,Lagos,2021-06-13
42,Customer_42,customer42@example.com,Ibadan,2022-12-16
43,Customer_43,customer43@example.com,Lagos,2022-03-09
44,Customer_44,customer44@example.com,,2021-12-15
45,Customer_45,customer45@example.com,Abuja,2021-10-12
46,Customer_46,customer46@example.com,Port Harcourt,2021-06-09
47,Customer_47,customer47@example.com,Abuja,2021-08-09
48,Customer_48,customer48@example.com,Ibadan,2023-02-21
49,Customer_49,customer49@example.com,Ibadan,2021-12-11
50,Customer_50,customer50@example.com,Lagos,2021-04-15
51,Customer_51,,,2021-04-05
52,Customer_52,customer52@example.com,Benin,2022-01-25
53,Customer_53,customer53@example.com,,2021-04-10
54,Customer_54,customer54@example.com,Benin,2022-01-03
55,Customer_55,customer55@example.com,Ibadan,2023-05-18
56,Customer_56,customer56@example.com,,2021-12-19
57,Customer_57,customer57@example.com,Lagos,2022-09-11
